label,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41
Forward,0.3014240264892578,0.7731786370277405,0.3650560677051544,0.7403737306594849,0.4266476631164551,0.6774285435676575,0.4834102392196655,0.6348350644111633,0.5374828577041626,0.6162599921226501,0.37578725814819336,0.5130665898323059,0.4035842716693878,0.40556955337524414,0.4157733619213104,0.33819320797920227,0.4231151342391968,0.2809561491012573,0.32750624418258667,0.49558961391448975,0.3422516882419586,0.3668735921382904,0.3480370044708252,0.2846944332122803,0.3487633764743805,0.21998676657676697,0.28286606073379517,0.5095385313034058,0.26943206787109375,0.3945064842700958,0.26052743196487427,0.3222266733646393,0.25458216667175293,0.26183319091796875,0.24222218990325928,0.5495886206626892,0.2116396278142929,0.47675156593322754,0.1905960887670517,0.4288656711578369,0.17465847730636597,0.38218435645103455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3045606017112732,0.7761147022247314,0.36617863178253174,0.7429832816123962,0.426913857460022,0.6817092895507812,0.4828397333621979,0.6411213874816895,0.5357797741889954,0.6211042404174805,0.37821605801582336,0.5160627961158752,0.4069024324417114,0.40698403120040894,0.42056846618652344,0.33966100215911865,0.42945969104766846,0.28229397535324097,0.33010345697402954,0.49816304445266724,0.34539031982421875,0.3683876395225525,0.35051798820495605,0.2856852114200592,0.3506203889846802,0.22036272287368774,0.28519779443740845,0.5117112398147583,0.27114081382751465,0.39626359939575195,0.2618098556995392,0.32390809059143066,0.25527697801589966,0.26311638951301575,0.24350926280021667,0.5521497130393982,0.21298223733901978,0.47932612895965576,0.19163993000984192,0.43216472864151,0.17529639601707458,0.38608086109161377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3043070137500763,0.7752878069877625,0.36544299125671387,0.7439011931419373,0.426110178232193,0.6853588223457336,0.48155468702316284,0.6479865312576294,0.532814085483551,0.6299474835395813,0.37956416606903076,0.5196625590324402,0.4080786108970642,0.41182705760002136,0.4215846657752991,0.3449403643608093,0.43030840158462524,0.2877855896949768,0.3314530849456787,0.5016220211982727,0.34749704599380493,0.3729272782802582,0.35299405455589294,0.29088494181632996,0.3538687229156494,0.22587573528289795,0.28652656078338623,0.514981210231781,0.2731775939464569,0.40066686272621155,0.2636261582374573,0.3278427720069885,0.2572692632675171,0.2669222950935364,0.24442481994628906,0.5553521513938904,0.21403363347053528,0.48343124985694885,0.19332918524742126,0.43597567081451416,0.1784651279449463,0.3892894983291626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3003905415534973,0.7752435207366943,0.36042696237564087,0.7453133463859558,0.4214446246623993,0.6888658404350281,0.47159910202026367,0.654572606086731,0.5159318447113037,0.6405651569366455,0.3765154778957367,0.5224720239639282,0.40691059827804565,0.4160795509815216,0.4200652837753296,0.34930354356765747,0.4278137683868408,0.2924623489379883,0.32907915115356445,0.5045177340507507,0.3458721935749054,0.37729334831237793,0.3516641855239868,0.29588794708251953,0.3523736596107483,0.23110324144363403,0.28480732440948486,0.5172960758209229,0.2715314030647278,0.40317919850349426,0.2629127502441406,0.3315027356147766,0.2566487193107605,0.27197960019111633,0.24307328462600708,0.5569740533828735,0.21288907527923584,0.4850575029850006,0.1913217157125473,0.4379282593727112,0.175024151802063,0.39206355810165405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3020336627960205,0.7762324810028076,0.3628379702568054,0.7472840547561646,0.4244656264781952,0.6897217631340027,0.4744828939437866,0.6533183455467224,0.5209378004074097,0.6397496461868286,0.37893974781036377,0.5233470797538757,0.4089048504829407,0.41643136739730835,0.422009140253067,0.34920260310173035,0.4297304153442383,0.2917984127998352,0.3309788107872009,0.5055946707725525,0.3481055200099945,0.3774491548538208,0.354263037443161,0.29574042558670044,0.3551888167858124,0.23084324598312378,0.2865944802761078,0.518666684627533,0.27327606081962585,0.40429797768592834,0.2647427022457123,0.33169153332710266,0.2587217390537262,0.27131858468055725,0.24497205018997192,0.558530330657959,0.21439708769321442,0.48593175411224365,0.19297488033771515,0.4383459985256195,0.17721180617809296,0.39157140254974365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3014942705631256,0.7753480672836304,0.3617064356803894,0.7458221316337585,0.4225139915943146,0.6897193193435669,0.47226521372795105,0.6543084383010864,0.5175279378890991,0.639794111251831,0.3781625032424927,0.5228480100631714,0.40807995200157166,0.4154837131500244,0.4211106598377228,0.34774160385131836,0.4289894700050354,0.2899969220161438,0.32978692650794983,0.504879355430603,0.3467167019844055,0.37552475929260254,0.3522144854068756,0.2931148409843445,0.35271593928337097,0.22806429862976074,0.2851971685886383,0.5181647539138794,0.27165430784225464,0.4031289219856262,0.26238417625427246,0.3302934765815735,0.2557317912578583,0.27020683884620667,0.24351224303245544,0.5585519671440125,0.21317169070243835,0.4864792227745056,0.19197024405002594,0.438937246799469,0.1763010174036026,0.39260804653167725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.3013416528701782,0.7753258943557739,0.3621586263179779,0.7446896433830261,0.42325136065483093,0.6851752996444702,0.475172221660614,0.64640873670578,0.5224936604499817,0.627633810043335,0.3754975199699402,0.5204367637634277,0.40472355484962463,0.4119674861431122,0.4175925850868225,0.3439769148826599,0.4252357482910156,0.2860921621322632,0.3270467519760132,0.5030068159103394,0.3431999981403351,0.3730017840862274,0.3483031392097473,0.290203332901001,0.34832972288131714,0.22478511929512024,0.2824615240097046,0.5166811943054199,0.26858532428741455,0.40117931365966797,0.2587883174419403,0.32776927947998047,0.2516248822212219,0.2667318284511566,0.24099478125572205,0.557262659072876,0.2108771800994873,0.48376893997192383,0.18979090452194214,0.4356001913547516,0.17423321306705475,0.388308584690094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.28071972727775574,0.7660292387008667,0.3474082052707672,0.7333941459655762,0.40597373247146606,0.6701833009719849,0.4626975357532501,0.6249697804450989,0.5156810283660889,0.5950835943222046,0.3554421365261078,0.5173723101615906,0.38832253217697144,0.3973463177680969,0.40710368752479553,0.318251371383667,0.42018216848373413,0.24847498536109924,0.3026697337627411,0.49793294072151184,0.316789448261261,0.35503631830215454,0.32445383071899414,0.26276448369026184,0.32706743478775024,0.1842273473739624,0.2523442506790161,0.5132458209991455,0.23647981882095337,0.3837321102619171,0.22754189372062683,0.29474079608917236,0.2201509177684784,0.21656864881515503,0.20690888166427612,0.5555351972579956,0.17526493966579437,0.4665856659412384,0.15358340740203857,0.4077320098876953,0.13505375385284424,0.34836769104003906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.27662262320518494,0.7709519863128662,0.3430668115615845,0.7342871427536011,0.4018346071243286,0.6706724166870117,0.459145724773407,0.6258429288864136,0.5127524137496948,0.5942388772964478,0.3452948331832886,0.5265472531318665,0.37928029894828796,0.4099494218826294,0.3992109000682831,0.33213454484939575,0.41375407576560974,0.2605067491531372,0.29021155834198,0.5074799060821533,0.2973115146160126,0.36732280254364014,0.300950825214386,0.2765827775001526,0.3006105124950409,0.19625777006149292,0.23895707726478577,0.5234301686286926,0.217229962348938,0.39370197057724,0.2038201242685318,0.30476588010787964,0.19249461591243744,0.22538363933563232,0.1942804455757141,0.5657698512077332,0.1566576212644577,0.47604915499687195,0.13199864327907562,0.4157607853412628,0.11080507934093475,0.3550364077091217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward,0.27295833826065063,0.7726866602897644,0.33756905794143677,0.7370738387107849,0.39471831917762756,0.6740204095840454,0.457492858171463,0.6279407143592834,0.5145529508590698,0.5938745141029358,0.3301030397415161,0.5464845299720764,0.35892367362976074,0.43580442667007446,0.3786255717277527,0.36170411109924316,0.3931763768196106,0.29030436277389526,0.2746298611164093,0.5293185710906982,0.2723333239555359,0.39795488119125366,0.27167609333992004,0.3103852868080139,0.2665150761604309,0.22728881239891052,0.22488553822040558,0.5467627644538879,0.19266363978385925,0.4283820390701294,0.17235025763511658,0.34551703929901123,0.15495482087135315,0.26658132672309875,0.18577027320861816,0.5896514654159546,0.13667792081832886,0.5091564655303955,0.10565447807312012,0.45676761865615845,0.0783979743719101,0.4018178880214691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
